question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt_template,gap_count,gap1_options,gap1_correct,gap1_allow_repeat,gap2_options,gap2_correct,gap2_allow_repeat,gap3_options,gap3_correct,gap3_allow_repeat,gap4_options,gap4_correct,gap4_allow_repeat,gap5_options,gap5_correct,gap5_allow_repeat,enforce_unique_across_gaps,explanation
LIST_CGT_REQ_SPLITYR_004,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|coming_home,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,4,A coming-to-UK split-year case applies where an individual acquires a UK {gap1} and did not have sufficient {gap2} to be UK resident before that acquisition.,2,"[""employment"",""home"",""passport"",""domicile""]",home,N,"[""ties"",""days"",""returns"",""benefits""]",ties,N,,,,,,,,,,Y,Your notes state acquiring a UK home with insufficient pre-existing ties can qualify.
LIST_CGT_REQ_SPLITYR_005,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|coming_work,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,5,"Another coming case is arrival to work {gap1} in the UK for at least {gap2}, without sufficient ties for UK residence before arrival.",2,"[""part-time"",""remotely"",""full-time"",""casually""]",full-time,N,"[""6 months"",""9 months"",""1 year"",""2 years""]",1 year,N,,,,,,,,,,Y,The notes require full-time UK work for at least one year in this coming case.
LIST_CGT_REQ_SPLITYR_006,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|returning,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,6,A return-to-UK case can apply after a period where {gap1} or their spouse worked {gap2} overseas.,2,"[""the individual"",""the employer"",""the adviser"",""the child""]",the individual,N,"[""temporarily"",""part-time"",""full-time"",""occasionally""]",full-time,N,,,,,,,,,,Y,Your notes include return following a period of full-time overseas work by the individual or spouse.
LIST_CGT_REQ_RESDOM_001,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_overseas,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,1,Automatic overseas test (prior UK resident): in UK fewer than {gap1} days and UK resident in one or more previous {gap2} tax years.,2,"[""16"",""30"",""46"",""90""]",16,N,"[""2"",""3"",""4"",""5""]",3,N,,,,,,,,,,Y,This test uses <16 days and prior residence in at least one of the previous 3 tax years.
LIST_CGT_REQ_RESDOM_002,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_overseas,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,2,Automatic overseas test (not recently UK resident): in UK fewer than {gap1} days and not resident during previous {gap2} tax years.,2,"[""16"",""46"",""90"",""183""]",46,N,"[""1"",""2"",""3"",""4""]",3,N,,,,,,,,,,Y,"For those not resident in the prior three tax years, the threshold is <46 days."
LIST_CGT_REQ_RESDOM_003,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|auto_uk,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,3,"Automatic UK tests include: UK presence of {gap1} days or more, and only home in UK occupied for at least {gap2} days.",2,"[""90"",""120"",""183"",""200""]",183,N,"[""16"",""30"",""46"",""91""]",30,N,,,,,,,,,,Y,Automatic UK tests in your notes include 183+ days and the only-home test with at least 30 days occupation.
LIST_CGT_REQ_RESDOM_004,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,residency|ties,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,4,Sufficient ties: accommodation tie requires UK house available for at least {gap1} days; work tie is {gap2}+ UK work days; historic-day tie looks at >{gap3} UK days in either of previous two tax years.,3,"[""30"",""46"",""91"",""183""]",91,N,"[""30"",""40"",""60"",""90""]",40,N,"[""60"",""90"",""120"",""183""]",90,N,,,,,,,Y,"These three sufficient ties thresholds are 91, 40, and >90 days respectively."
LIST_CGT_REQ_RESDOM_005,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,domicile|types,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,5,Domicile types: domicile of {gap1} is inherited from father at birth; domicile of {gap2} applies while under 16 if father’s domicile changes; domicile of {gap3} arises after 16 when old ties are severed and person settles permanently overseas.,3,"[""origin"",""choice"",""dependency"",""deemed""]",origin,N,"[""origin"",""choice"",""dependency"",""residence""]",dependency,N,"[""origin"",""choice"",""dependency"",""deemed""]",choice,N,,,,,,,Y,"The sequence is origin, dependency, then choice."
LIST_CGT_REQ_RESDOM_006,Capital gains,requirements,"Residency, domicile and deemed domicile",cloze_list,3,core,Y,deemed_domicile|routes,notes_user,1,RESDOM,LIST_CGT_REQ_RESDOM,6,"Deemed domicile routes: long-term resident test is UK residence in at least {gap1} of previous {gap2} tax years; formerly UK domiciled resident route requires birth in UK, UK domicile of origin, and UK residence in the {gap3} tax year.",3,"[""10"",""12"",""15"",""17""]",15,N,"[""15"",""20"",""25"",""30""]",20,N,"[""current"",""relevant"",""previous"",""next""]",relevant,N,,,,,,,Y,Long-term route is 15/20; formerly UK domiciled resident route includes UK residence in the relevant tax year.
LIST_IHT_REQ_DEEMDOM_001,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|overview,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,1,"For IHT deemed domicile at transfer time, meeting any {gap1} of {gap2} listed conditions is sufficient.",2,"[""one"",""two"",""all""]",one,N,"[""two"",""three"",""four""]",three,N,,,,,,,,,,Y,The framework is any one of three conditions.
LIST_IHT_REQ_DEEMDOM_002,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|three_year,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,2,Condition 1: individual was domiciled in the UK within the {gap1} years immediately {gap2} that time.,2,"[""2"",""3"",""4"",""5""]",3,N,"[""preceding"",""following"",""ending"",""excluding""]",preceding,N,,,,,,,,,,Y,The first trigger is UK domicile within the 3 years immediately preceding the transfer time.
LIST_IHT_REQ_DEEMDOM_003,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|fukdi,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,3,"Formerly UK domiciled individual route requires: born in {gap1}, UK domicile of {gap2}, UK resident in relevant year, and UK resident in at least {gap3} of previous {gap4} tax years.",4,"[""UK"",""EU"",""Commonwealth"",""overseas""]",UK,N,"[""origin"",""choice"",""dependency"",""deemed""]",origin,N,"[""1"",""2"",""3""]",1,N,"[""2"",""3"",""4"",""5""]",2,N,,,,Y,"This route combines birthplace, domicile-origin, current-year residence and a 1-of-2 prior-year residence test."
LIST_IHT_REQ_DEEMDOM_004,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|uk_resident_route,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,4,UK-resident deemed-domicile route uses residence for at least {gap1} of previous {gap2} years and at least {gap3} of the {gap4} years ending with relevant year.,4,"[""12"",""15"",""17""]",15,N,"[""15"",""20"",""25""]",20,N,"[""1"",""2"",""3""]",1,N,"[""2"",""3"",""4"",""5""]",4,N,,,,Y,This route combines 15/20 with a 1/4 recency condition.
LIST_IHT_REQ_DEEMDOM_005,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|comparison_windows,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,5,"To distinguish IHT from CGT/IT revision, memorise the IHT windows: {gap1} years (domicile lookback), {gap2} of {gap3}, and {gap4} of {gap5}.",5,"[""2"",""3"",""5""]",3,N,"[""10"",""12"",""15""]",15,N,"[""15"",""20"",""25""]",20,N,"[""1"",""2"",""3""]",1,N,"[""2"",""4"",""6""]",4,N,Y,"The key IHT memory anchors are 3-year lookback, 15/20, and 1/4."
LIST_IHT_REQ_DEEMDOM_006,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),cloze_list,3,core,Y,iht|trigger_time,image_notes,1,DEEMDOM,LIST_IHT_REQ_DEEMDOM,6,"For IHT, deemed domicile is tested at the time a {gap1} is made, not just at tax-year {gap2}.",2,"[""transfer"",""return"",""claim"",""election""]",transfer,N,"[""start"",""end"",""middle"",""quarter""]",end,N,,,,,,,,,,Y,The trigger point in the note is the transfer time.
